movieId,tagId,relevance
1,1,0.025
1,2,0.074
1,3,0.982
1,4,0.692
1,5,0.435
3,1,0.578
3,2,0.124
3,3,0.056
3,4,0.890
3,5,0.912
5,1,0.345
5,2,0.789
5,3,0.123
5,4,0.654
5,5,0.431
8,1,0.456
8,2,0.567
8,3,0.345
8,4,0.789
8,5,0.234
11,1,0.890
11,2,0.345
11,3,0.678
11,4,0.234
11,5,0.912
13,1,0.765
13,2,0.234
13,3,0.543
13,4,0.876
13,5,0.321
15,1,0.432
15,2,0.876
15,3,0.234
15,4,0.567
15,5,0.789
19,1,0.654
19,2,0.321
19,3,0.876
19,4,0.456
19,5,0.234
22,1,0.789
22,2,0.543
22,3,0.234
22,4,0.678
22,5,0.890
25,1,0.123
25,2,0.456
25,3,0.789
25,4,0.345
25,5,0.567
